"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KRT8",1.0024762827883e-56,1.50064395536026,0.986,0.479,2.07091550498408e-52,"0","KRT8"
"FAM3B",4.42173624183043e-52,1.83484270853484,0.64,0.114,9.1344227283733e-48,"0","FAM3B"
"CXCL17",4.99310470689564e-52,1.97857275284742,0.592,0.102,1.0314755703505e-47,"0","CXCL17"
"TNFSF10",8.84825141757768e-52,1.87402587276094,0.877,0.381,1.8278717778432e-47,"0","TNFSF10"
"AGR2",2.13939772368077e-51,1.6083798276076,0.763,0.195,4.41956781757973e-47,"0","AGR2"
"NUPR1",1.92871679452217e-48,1.77846082194643,0.863,0.374,3.9843431541239e-44,"0","NUPR1"
"TSPAN1",9.23341978515523e-48,1.24905907163312,0.815,0.27,1.90743985921737e-43,"0","TSPAN1"
"MGST1",5.67413451461136e-47,1.196419107308,0.929,0.408,1.17216270802841e-42,"0","MGST1"
"KRT18",1.43404190385381e-44,1.38514021838609,0.919,0.431,2.9624437649812e-40,"0","KRT18"
"KRT19",7.2499523518476e-43,1.24732410409905,1,0.665,1.49769515684468e-38,"0","KRT19"
"HES4",9.27824143560151e-43,1.56712707171385,0.569,0.111,1.91669911576656e-38,"0","HES4"
"CHCHD10",1.69922237722006e-42,1.19859658641394,0.976,0.552,3.5102535868612e-38,"0","CHCHD10"
"SAT1",1.21331423179585e-41,1.308932508074,0.938,0.528,2.50646454004387e-37,"0","SAT1"
"SERPINB13",5.64960969628441e-39,1.79217197583614,0.54,0.117,1.16709637105843e-34,"0","SERPINB13"
"TACSTD2",9.54493638848006e-39,1.09815661518768,0.995,0.607,1.97179295913221e-34,"0","TACSTD2"
"CLDN7",6.39624465199353e-38,1.14402723923768,0.73,0.229,1.32133622020882e-33,"0","CLDN7"
"SPARCL1",1.40331280935315e-37,0.361499794996441,0.36,0.038,2.89896360156174e-33,"0","SPARCL1"
"AKR1C2",1.96540107077258e-37,2.25707681736383,0.417,0.064,4.060125532002e-33,"0","AKR1C2"
"PLPP2",2.02183107925492e-37,1.37679323990583,0.63,0.166,4.17669864352482e-33,"0","PLPP2"
"DEFB1",1.03109133221353e-36,1.09235029243946,0.995,0.571,2.13002847408671e-32,"0","DEFB1"
"CD81",1.30302947966889e-36,1.22427143564542,0.938,0.583,2.69179829909999e-32,"0","CD81"
"RBP1",1.70465416001033e-35,1.32015985494851,0.834,0.35,3.52147456374934e-31,"0","RBP1"
